ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
ILMN,ILLUMINA INC,Health Care,Equity,"22,639,054.28",0.15,"22,639,054.28","169,226.00",133.78,United States,NASDAQ,USD
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,"20,079,672.17",0.13,"20,079,672.17","2,597,629.00",7.73,United States,NASDAQ,USD
DLTR,DOLLAR TREE INC,Consumer Staples,Equity,"19,665,429.49",0.13,"19,665,429.49","231,931.00",84.79,United States,NASDAQ,USD
MDB,MONGODB INC CLASS A,Information Technology,Equity,"18,559,968.76",0.12,"18,559,968.76","75,533.00",245.72,United States,NASDAQ,USD
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,Equity,"16,453,781.88",0.11,"16,453,781.88","124,716.00",131.93,United Kingdom,NASDAQ,USD
EUR,EUR CASH,Cash and/or Derivatives,Cash,"2,398,230.55",0.02,"2,398,230.55","2,166,325.00",110.71,European Union,--,EUR
MLIFT,CASH COLLATERAL USD MLIFT,Cash and/or Derivatives,Cash Collateral and Margins,"1,358,000.00",0.01,"1,358,000.00","1,358,000.00",100.00,United States,--,USD
GBP,GBP CASH,Cash and/or Derivatives,Cash,"661,813.42",0.00,"661,813.42","503,032.00",131.57,United Kingdom,--,GBP
CAD,CAD CASH,Cash and/or Derivatives,Cash,"174,468.48",0.00,"174,468.48","235,105.00",74.21,Canada,--,CAD
NQU4,NASDAQ 100 E-MINI SEP 24,Cash and/or Derivatives,Futures,0.00,0.00,"24,823,360.00",64.00,"19,393.25",--,Index And Options Market,USD
